order_id,product_id,region,quantity,revenue,order_date
ORD-000000,P1,East,4,423.26,2024-07-31
ORD-000001,P4,West,4,379.51,2024-01-27
ORD-000002,P4,East,4,255.6,2024-10-23
ORD-000003,P3,South,4,304.4,2024-12-20
ORD-000004,P3,North,4,369.53,2024-05-15
ORD-000005,P5,East,3,153.1,2024-09-18
ORD-000006,P1,West,3,73.26,2024-04-27
ORD-000007,P4,North,2,94.85,2024-10-29
ORD-000008,P2,North,3,198.71,2024-09-20
ORD-000009,P1,East,3,20.39,2024-06-27
ORD-000010,P3,East,2,430.13,2024-10-23
ORD-000011,P5,South,3,336.83,2024-12-10
ORD-000012,P4,North,2,190.8,2024-05-08
ORD-000013,P4,South,4,182.25,2024-11-04
ORD-000014,P4,East,1,218.65,2024-02-17
ORD-000015,P4,North,4,252.49,2024-05-04
ORD-000016,P3,East,4,194.93,2024-05-13
ORD-000017,P1,West,2,491.62,2024-03-31
ORD-000018,P5,North,1,27.01,2024-12-11
ORD-000019,P3,North,3,345.4,2024-01-16
ORD-000020,P3,East,4,299.62,2024-09-15
ORD-000021,P2,West,2,199.72,2024-11-14
ORD-000022,P1,North,2,23.14,2024-11-11
ORD-000023,P5,West,4,368.71,2024-03-23
ORD-000024,P4,South,3,24.96,2024-02-21
ORD-000025,P4,North,2,361.62,2024-04-17
ORD-000026,P3,South,2,331.11,2024-03-26
ORD-000027,P5,South,1,148.63,2024-04-23
ORD-000028,P3,South,4,98.56,2024-08-13
ORD-000029,P3,East,2,274.59,2024-11-20
ORD-000030,P3,North,4,159.58,2024-01-18
ORD-000031,P2,West,1,400.9,2024-10-07
ORD-000032,P1,South,1,124.19,2024-06-09
ORD-000033,P3,West,1,473.77,2024-10-02
ORD-000034,P5,West,3,56.16,2024-11-08
ORD-000035,P1,South,4,130.26,2024-03-10
ORD-000036,P5,North,3,249.05,2024-06-13
ORD-000037,P5,West,3,238.64,2024-04-18
ORD-000038,P2,East,3,444.28,2024-08-18
ORD-000039,P4,South,1,19.73,2024-08-05
ORD-000040,P1,North,3,399.15,2024-11-17
ORD-000041,P4,South,2,83.51,2024-03-29
ORD-000042,P4,East,1,119.48,2024-10-31
ORD-000043,P2,East,2,43.8,2024-11-13
ORD-000044,P1,North,3,332.36,2024-10-29
ORD-000045,P5,West,4,212.13,2024-01-02
ORD-000046,P3,South,2,136.11,2024-09-16
ORD-000047,P5,North,3,420.5,2024-01-28
ORD-000048,P4,East,4,472.93,2024-06-01
ORD-000049,P4,East,1,268.46,2024-04-28
ORD-000050,P4,West,2,402.32,2024-03-12
ORD-000051,P1,North,1,47.92,2024-11-17
ORD-000052,P2,South,1,346.99,2024-09-27
ORD-000053,P3,South,4,234.74,2024-10-30
ORD-000054,P3,East,4,370.84,2024-12-22
ORD-000055,P1,West,4,73.32,2024-10-28
ORD-000056,P3,North,3,460.68,2024-04-15
ORD-000057,P1,East,4,441.21,2024-01-18
ORD-000058,P4,South,3,195.26,2024-04-22
ORD-000059,P4,South,1,66.79,2024-11-18
ORD-000060,P5,West,2,167.42,2024-05-01
ORD-000061,P4,East,2,399.84,2024-04-02
ORD-000062,P2,North,1,47.24,2024-06-05
ORD-000063,P5,South,1,247.08,2024-01-05
ORD-000064,P3,East,4,41.6,2024-12-15
ORD-000065,P2,North,4,401.52,2024-09-16
ORD-000066,P5,East,4,32.76,2024-08-18
ORD-000067,P2,South,2,334.09,2024-08-29
ORD-000068,P1,North,2,168.24,2024-04-05
ORD-000069,P3,West,4,462.76,2024-12-29
ORD-000070,P4,South,1,149.95,2024-07-09
ORD-000071,P1,South,2,266.89,2024-02-08
ORD-000072,P3,North,4,300.11,2024-11-14
ORD-000073,P1,North,1,415.65,2024-06-20
ORD-000074,P4,North,2,410.27,2024-03-14
ORD-000075,P3,East,2,191.07,2024-11-13
ORD-000076,P2,South,4,29.14,2024-07-28
ORD-000077,P2,South,4,377.35,2024-01-15
ORD-000078,P3,East,1,405.73,2024-08-01
ORD-000079,P4,South,4,342.99,2024-01-09
ORD-000080,P5,South,3,179.81,2024-06-11
ORD-000081,P3,South,3,434.04,2024-04-08
ORD-000082,P1,West,1,499.74,2024-01-23
ORD-000083,P5,West,2,186.14,2024-11-28
ORD-000084,P4,South,3,350.82,2024-07-30
ORD-000085,P4,South,1,347.17,2024-06-30
ORD-000086,P1,South,2,128.74,2024-07-22
ORD-000087,P2,North,1,189.64,2024-05-21
ORD-000088,P4,East,1,414.96,2024-04-25
ORD-000089,P5,East,1,350.53,2024-11-28
ORD-000090,P3,South,4,442.41,2024-09-16
ORD-000091,P5,South,3,490.92,2024-08-07
ORD-000092,P5,West,4,214.85,2024-09-08
ORD-000093,P2,North,3,359.41,2024-12-16
ORD-000094,P5,West,1,451.38,2024-02-11
ORD-000095,P2,East,2,439.3,2024-07-22
ORD-000096,P2,West,2,256.18,2024-06-16
ORD-000097,P4,East,4,192.51,2024-03-24
ORD-000098,P4,West,3,457.32,2024-12-07
ORD-000099,P1,East,2,466.82,2024-01-11
ORD-000100,P5,East,4,452.16,2024-02-17
ORD-000101,P1,South,3,308.68,2024-01-25
ORD-000102,P5,West,3,232.01,2024-09-15
ORD-000103,P1,South,3,372.45,2024-10-19
ORD-000104,P4,East,2,265.74,2024-10-30
ORD-000105,P4,South,4,197.19,2024-08-15
ORD-000106,P4,West,2,254.04,2024-03-22
ORD-000107,P4,West,4,298.67,2024-07-02
ORD-000108,P3,North,2,178.58,2024-10-14
ORD-000109,P4,East,4,30.28,2024-05-25
ORD-000110,P2,East,1,383.35,2024-08-25
ORD-000111,P4,South,3,276.92,2024-04-21
ORD-000112,P3,South,2,34.58,2024-04-12
ORD-000113,P3,East,4,260.92,2024-09-11
ORD-000114,P3,West,2,186.76,2024-05-09
ORD-000115,P3,South,2,246.9,2024-08-29
ORD-000116,P1,South,1,253.23,2024-09-25
ORD-000117,P1,West,1,497.05,2024-03-24
ORD-000118,P2,West,3,179.32,2024-06-19
ORD-000119,P1,East,1,29.34,2024-05-04
ORD-000120,P3,East,2,301.98,2024-02-22
ORD-000121,P4,North,4,156.83,2024-01-01
ORD-000122,P4,North,2,377.93,2024-09-12
ORD-000123,P3,North,4,423.89,2024-03-25
ORD-000124,P5,South,2,225.06,2024-01-27
ORD-000125,P3,North,4,372.39,2024-11-26
ORD-000126,P1,South,2,447.26,2024-12-01
ORD-000127,P4,North,4,492.2,2024-10-27
ORD-000128,P3,West,1,333.63,2024-02-12
ORD-000129,P4,South,3,457.43,2024-11-08
ORD-000130,P3,North,2,105.54,2024-12-12
ORD-000131,P3,North,4,144.62,2024-01-25
ORD-000132,P1,North,2,110.94,2024-01-07
ORD-000133,P3,East,2,341.02,2024-08-17
ORD-000134,P4,West,3,363.72,2024-08-29
ORD-000135,P2,South,3,465.7,2024-08-10
ORD-000136,P4,East,3,346.27,2024-02-20
ORD-000137,P1,North,4,41.79,2024-08-28
ORD-000138,P2,South,3,419.22,2024-04-10
ORD-000139,P3,North,1,116.17,2024-04-06
ORD-000140,P5,South,4,319.55,2024-11-29
ORD-000141,P2,North,3,467.12,2024-12-21
ORD-000142,P2,West,1,345.83,2024-12-23
ORD-000143,P3,East,2,221.67,2024-06-19
ORD-000144,P5,West,1,205.51,2024-10-06
ORD-000145,P5,East,3,25.15,2024-01-28
ORD-000146,P1,North,3,383.5,2024-08-09
ORD-000147,P2,South,4,25.38,2024-08-25
ORD-000148,P5,North,3,457.19,2024-09-13
ORD-000149,P1,North,4,242.04,2024-01-12
ORD-000150,P5,West,4,15.23,2024-12-15
ORD-000151,P2,West,2,279.18,2024-08-19
ORD-000152,P5,North,2,192.05,2024-03-03
ORD-000153,P2,South,3,289.77,2024-01-16
ORD-000154,P3,South,1,25.67,2024-09-03
ORD-000155,P4,South,3,328.03,2024-02-05
ORD-000156,P1,East,1,249.2,2024-09-17
ORD-000157,P3,South,1,343.52,2024-05-15
ORD-000158,P3,West,4,63.83,2024-06-18
ORD-000159,P4,North,2,490.76,2024-05-04
ORD-000160,P5,East,3,201.38,2024-09-14
ORD-000161,P4,East,1,341.74,2024-02-26
ORD-000162,P3,East,2,47.85,2024-07-19
ORD-000163,P3,East,2,269.04,2024-07-14
ORD-000164,P3,East,4,32.65,2024-07-31
ORD-000165,P5,North,2,256.64,2024-07-03
ORD-000166,P2,West,3,302.38,2024-10-29
ORD-000167,P1,South,3,439.73,2024-08-28
ORD-000168,P2,North,1,329.86,2024-07-17
ORD-000169,P1,East,2,195.47,2024-07-28
ORD-000170,P1,East,3,414.43,2024-08-03
ORD-000171,P1,South,2,229.6,2024-09-02
ORD-000172,P4,North,4,262.79,2024-01-12
ORD-000173,P4,West,2,151.97,2024-12-10
ORD-000174,P4,West,2,268.02,2024-01-08
ORD-000175,P3,South,1,354.64,2024-02-03
ORD-000176,P4,South,3,201.92,2024-08-10
ORD-000177,P1,West,3,52.73,2024-09-23
ORD-000178,P5,South,2,432.11,2024-09-24
ORD-000179,P3,North,3,376.65,2024-07-03
ORD-000180,P5,South,4,114.51,2024-05-30
ORD-000181,P1,East,2,232.14,2024-05-07
ORD-000182,P3,East,1,363.99,2024-08-09
ORD-000183,P4,South,1,322.99,2024-02-11
ORD-000184,P3,North,3,260.6,2024-08-23
ORD-000185,P3,West,4,18.19,2024-09-18
ORD-000186,P1,North,3,473.0,2024-03-05
ORD-000187,P2,East,3,352.26,2024-02-17
ORD-000188,P2,North,1,404.39,2024-10-30
ORD-000189,P2,East,3,494.92,2024-07-30
ORD-000190,P4,South,3,155.15,2024-09-24
ORD-000191,P4,North,4,23.73,2024-04-24
ORD-000192,P4,North,2,41.14,2024-05-12
ORD-000193,P2,South,4,312.23,2024-04-11
ORD-000194,P5,North,1,262.46,2024-02-08
ORD-000195,P1,East,4,143.81,2024-02-15
ORD-000196,P2,West,3,28.77,2024-09-17
ORD-000197,P1,South,4,450.81,2024-11-16
ORD-000198,P2,West,3,429.88,2024-12-08
ORD-000199,P5,East,3,166.94,2024-06-24
ORD-000200,P2,North,4,303.62,2024-02-03
ORD-000201,P5,South,4,24.09,2024-08-16
ORD-000202,P3,East,4,110.19,2024-10-01
ORD-000203,P4,East,4,410.78,2024-04-20
ORD-000204,P3,South,4,173.3,2024-11-16
