product_id,store_id,stock_quantity,last_restock_date
P056,S03,33,2023-09-13
P046,S06,63,02/07/2024
P010,S05,106,01/20/2024
P005,S02,103,11-Jun-2024
P018,S06,116,
P038,S01,23,14-Apr-2024
P043,S06,16,2024-02-12
P990,S04,126,10/02/2023
P054,S05,86,14-May-2023
P055,S08,87,
P007,S08,4,2023-05-08
P029,S08,0,2024-03-14
P045,S03,77,06/12/2023
P006,S06,64,03/26/2023
P043,S03,13,
P020,S04,109,04-Apr-2023
P007,S91,54,2024-05-03
P009,S04,132,2024-03-31
P001,S06,30,08-Mar-2024
P009,S08,18,
P006,S02,26,11/17/2023
P057,S05,35,2024-01-27
P042,S03,17,27-Jun-2024
P992,S03,112,26-Dec-2023
P014,S03,105,
P006,S02,35,07-May-2023
P047,S07,89,03/15/2024
P051,S03,63,11-Oct-2023
P006,S04,141,19-Oct-2023
P002,S05,52,
P033,S04,100,30-Oct-2023
P004,S04,126,2024-01-31
P016,S08,18,2024-06-24
P024,S06,33,01-Feb-2024
P027,S06,139,
P050,S93,4,2023-03-11
P017,S04,10,03/03/2023
P033,S05,128,03/01/2024
P045,S07,21,06/06/2023
P006,S05,20,
P052,S03,137,12/01/2023
P038,S02,79,23-Mar-2024
P994,S04,14,2023-09-08
P060,S07,29,09-Apr-2024
P039,S01,79,
P001,S03,2,06/17/2023
P023,S09,132,2023-09-23
P024,S03,68,2023-05-01
P022,S07,69,2024-06-20
P017,S02,127,
