order_id,customer_id,product_id,store_id,quantity,revenue,order_date,region
ORD-0001,C076,P045,S04,1,63.8,10-Sep-2022,West
ORD-0002,C016,P051,S01,3,156.88,2023-01-29,West
ORD-0003,C044,P001,S07,4,89.55,12-Jan-2023,West
ORD-0004,C059,P046,S03,4,109.32,05-Dec-2023,West
ORD-0005,C069,P050,S08,4,181.96,04/28/2024,West
ORD-0006,C032,P054,S02,3,230.14,05/15/2022,East
ORD-0007,C049,P022,S01,4,298.27,01/08/2022,West
ORD-0008,C034,P022,S05,5,320.41,20-Jul-2022,South
ORD-0009,C011,P016,S07,4,215.45,08-May-2022,West
ORD-0010,C063,P029,S01,1,35.6,09-Apr-2023,North
ORD-0011,C910,P024,S08,5,260.82,22-May-2023,West
ORD-0012,C046,P045,S08,3,109.39,2022-04-18,West
ORD-0013,C041,P008,S09,5 units,167.76,20-Mar-2022,South
ORD-0014,C076,P049,S09,5,174.05,2021-07-25,West
ORD-0015,C047,P012,S05,1,64.56,09/17/2021,North
ORD-0016,C071,P019,S03,6,,2023-10-03,South
ORD-0017,C074,P019,S08,4,183.33,2022-01-13,West
ORD-0018,C062,P008,S02,4,197.69,27-Mar-2024,North
ORD-0019,C020,P010,S05,1,84.57,31-Aug-2021,East
ORD-0020,C029,P050,S09,4,186.14,06/26/2023,East
ORD-0021,C055,P020,S01,5,411.04,2021-07-23,South
ORD-0022,C034,P043,S02,2,63.58,2024-02-05,North
ORD-0023,C053,P029,S08,3,51.85,14-Aug-2022,West
ORD-0024,C059,P005,S04,3,210.44,22-Apr-2024,West
ORD-0025,C026,P028,S02,5,153.68,11/02/2021,West
ORD-0026,C010,P925,S03,3,169.96,03/11/2024,West
ORD-0027,C060,P045,S05,6,259.05,12-Jul-2022,West
ORD-0028,C057,P006,S01,4,265.67,05/21/2024,South
ORD-0029,C074,P038,S01,6,435.0,2024-03-26,West
ORD-0030,C023,P031,S09,6,275.74,2022-07-24,South
ORD-0031,C056,P041,S08,1,47.9,04/17/2023,South
ORD-0032,C014,P055,S03,3,131.45,10/12/2023,North
ORD-0033,C052,P053,S09,1,46.84,10/07/2022,West
ORD-0034,C052,P056,S09,1,61.04,01/17/2024,West
ORD-0035,C025,P034,S06,5,339.76,2023-06-25,West
ORD-0036,C935,P009,S05,4,306.64,2023-09-20,South
ORD-0037,C021,P020,S09,1,53.66,2021-07-10,East
ORD-0038,C015,P030,S02,6,439.5,18-Oct-2023,South
ORD-0039,C035,P027,S08,4,128.24,2024-02-03,West
ORD-0040,C066,P048,S03,1,34.34,04/30/2023,West
ORD-0041,C065,P018,S01,3,-197.47,17-Apr-2024,West
ORD-0042,C063,P056,S03,4,210.8,12/08/2022,North
ORD-0043,C070,P025,S08,3,227.62,05-May-2022,West
ORD-0044,C053,P003,S06,6,288.65,02/20/2023,West
ORD-0045,C020,P032,S01,2,100.32,04/23/2024,East
ORD-0046,C057,P007,S09,4,64.3,10/23/2021,West
ORD-0047,C020,P005,S08,3,116.1,26-Mar-2023,East
ORD-0048,C069,P025,S06,6,391.86,27-Sep-2023,North
ORD-0049,C031,P041,S05,2,134.55,2023-06-08,South
ORD-0050,C013,P029,S03,6,215.78,2021-03-01,West
ORD-0051,C008,P950,S06,3,135.44,16-May-2022,East
ORD-0052,C024,P011,S03,1,57.66,23-Feb-2023,West
ORD-0053,C064,P059,S03,2,94.56,06/05/2022,South
ORD-0054,C002,P058,S08,3,187.3,2021-11-20,North
ORD-0055,C045,P038,S05,6,494.05,05/28/2022,East
ORD-0056,C026,P025,S08,1,31.6,03/17/2024,West
ORD-0057,C038,P002,S07,3,46.7,11-Apr-2021,East
ORD-0058,C037,P050,S04,5,355.68,25-Mar-2022,South
ORD-0059,C033,P044,S03,6,130.81,03/22/2021,West
ORD-0060,C005,P038,S06,6,145.19,08/28/2022,West
ORD-0061,C023,P013,S03,5,381.76,20-Jan-2023,South
ORD-0062,C035,P054,S03,3,236.95,09/14/2023,West
ORD-0063,C962,P052,S02,4,329.61,2021-10-16,West
ORD-0064,C051,P055,S09,3,63.96,2023-03-20,West
ORD-0065,C016,P030,S06,6,404.58,21-Jun-2022,West
ORD-0066,C048,P007,S04,4,67.01,02/24/2024,South
ORD-0067,C029,P042,S02,6,436.02,11-Sep-2022,East
ORD-0068,C018,P003,S01,2 items,254.14,2021-08-26,West
ORD-0069,C069,P009,S07,4,163.88,01/12/2024,West
ORD-0070,C020,P057,S07,6,131.59,30-Sep-2023,East
ORD-0071,C036,P003,S06,2,92.07,04/29/2022,East
ORD-0072,C070,P058,S06,1,42.87,2022-01-24,West
ORD-0073,C059,P006,S04,6,,2021-02-13,West
ORD-0074,C032,P009,S04,1,73.09,2024-02-10,East
ORD-0075,C030,P022,S03,5,75.99,2021-10-24,West
ORD-0076,C023,P008,S01,2,32.08,03-May-2022,South
ORD-0077,C023,P017,S01,2,133.84,2023-12-14,South
ORD-0078,C061,P029,S06,5,282.78,15-Jul-2023,West
ORD-0079,C006,P047,S09,3,141.19,2021-03-05,North
ORD-0080,C052,P028,S02,4,259.47,2023-06-28,West
ORD-0081,C042,P039,S03,1,23.83,13-Apr-2024,South
ORD-0082,C049,P039,S09,3,140.28,05/24/2024,North
ORD-0083,C071,P047,S04,4,186.44,04/13/2022,South
ORD-0084,C059,P026,S07,6,129.94,05/25/2023,West
ORD-0085,C048,P010,S08,1,21.39,2021-06-24,South
ORD-0086,C048,P985,S03,5,95.99,25-Feb-2024,South
ORD-0087,C016,P027,S06,6,485.27,17-May-2023,East
ORD-0088,C040,P023,S02,5,252.59,13-Nov-2021,East
ORD-0089,C014,P023,S09,3,-69.13,25-Jul-2022,North
ORD-0090,C055,P055,S09,5,289.75,2024-02-15,South
ORD-0091,C035,P002,S03,3,192.57,09/25/2022,West
ORD-0092,C024,P056,S03,5,305.07,2021-05-23,West
ORD-0093,C004,P006,S09,2,82.67,07/19/2023,North
ORD-0094,C040,P047,S06,5,283.68,2021-04-18,East
ORD-0095,C007,P044,S02,3,138.05,05/19/2023,West
ORD-0096,C995,P018,S04,5,114.84,2023-05-31,South
ORD-0097,C076,P032,S09,6,219.54,03/28/2022,West
ORD-0098,C008,P001,S04,3,243.52,10/09/2021,East
ORD-0099,C016,P001,S08,6,270.88,09/22/2021,West
ORD-0100,C030,P033,S09,6,428.6,05/28/2021,West
ORD-0101,C006,P028,S01,4,317.93,04-Oct-2022,North
ORD-0102,C052,P046,S07,3,69.19,02/12/2021,West
ORD-0103,C059,P054,S06,1,45.57,2021-08-05,West
ORD-0104,C052,P034,S02,4,303.75,2022-11-27,West
ORD-0105,C022,P005,S09,6,137.89,2023-11-11,East
ORD-0106,C045,P023,S03,2,44.39,2022-06-09,East
ORD-0107,C020,P049,S02,2,163.18,10/09/2023,East
ORD-0108,C075,P029,S06,6,222.78,2023-06-20,West
ORD-0109,C039,P051,S05,5,94.66,2023-11-06,West
ORD-0110,C058,P003,S01,3,219.66,07-Jun-2021,North
ORD-0111,C012,P040,S09,4,189.56,10-Feb-2024,West
ORD-0112,C058,P059,S04,3 pk,172.05,2023-10-24,North
